单词,中文翻译,记忆方法
ambrosial,芳香的,amb(ambi)+rose+al，周围都是玫瑰花，所以是芳香的
ambush,潜伏/伏兵,am-=im-藏在（bush）灌木丛里面
amiable,友好的，亲切和蔼,能让人爱，也能爱别人的，=kind，am-amour=love
amicable,亲切的，友好的,
amity,和睦，友好，友爱,
amorous,多情的，恋爱的,am-amour=love
amorphous,无形状的，不定型的，无定形的,-a表示否定（例：symmetry，对称，asymmetry不对称），+morph表示形状和form首尾字母颠倒+ous，没有形状的
amphibian,两栖的,bio=生命，ambi=amphi，1around周围，环绕ambition；2both二
amphitheater,斗兽场，环形剧场,amphi-取环形的意思，环形的剧院
analgesic,止痛剂，止痛的=painkiller,algia-:表示疼痛pain，a=an-(not)否定+algia “不疼”
anatomize,解剖；分析,联想，打开atom软件记录分析过程
annihilate,消灭，歼灭,an-to+nihil=nothing虚无+ate动词后缀；联想（no+hill）没有山-虚无的
annotate,注释，评注,annotation注释，an-to，来自note记录=to mark“加强标记”->注释
annul,取消，废除,"an-to,nullify=废除"
antagonist,敌手，对手,反派rival，contestant
antagonize,敌对，对抗,"~sb\sth,ant-等于anti-表示相反，agon-ag=act行动，做相反的行动"
antic,反常的，古怪的，滑稽的（ridiculous）,“反的”
anticlimax,突降法，虎头蛇尾，令人扫兴的结尾,anti-against，climax 高潮（小说，戏剧），心情突然从高潮跌落下来了
antiseptic,防腐的，防腐剂,
antithesis,观点对立,
anxiety,焦虑,联想，按掉ie浏览器的x，担心系统会出问题
apathy,无情，冷漠,pass/path-feeling
aphorism,格言，谚语,ism表示一种主义，a表示加强，phor=-fer-表示carry，如 transfer 带来一种精神的话-格言
apiary,养蜂场,
apocrypha,伪经（旧约）,联想，哭反方向了；喊一些违背的东西
apocryphal,伪经的，假冒的,联想，哭反方向了；喊一些违背的东西
appertain,属于，关于,ap加强，per一直
applaud,鼓掌,联想，ap加强，p手掌
aquatic,水生的，水栖的,aqua=water，aquarium：水族馆，Aquarius
aqueous,含水的,containing water，-ous-full of “充满水的”
aquifer,含水层,fer=carry，“搬水，携带水”->含水层
arbor,树荫处,
arboreal,树栖的，树生,
arboretum,树木园，植物园,-um地点，arbor-=arb；tree表示树，和（h）erb同源；或联想 harbor 港口遮挡风雨，arbor 树荫当太阳
arboriculture,树木养殖业,culture表示……养殖业
arcane,神秘的,arc-圆弧，神秘的圆弧线
arctic,北极,
ardent,热心的，热情洋溢的，燃烧般的,-ent表示形容词词尾，ard=ars源自ash，表示burn燃烧
ardor,热情,
arduous,辛苦费力的，困难的，艰难的（laborious）,ard-hard+uous相当于harduous
arid,干旱的,干的只剩一a朵花r
arrant,彻头彻尾的，声名狼藉的,arr与err（error）同源 + ant 后缀，“总是出错的人就声名狼藉“，err-1mistake2wander
arsenal,军火库，军械库,ars=燃烧
arson,纵火罪,
arsonist,纵火犯,
artful,狡猾的，同sly/cunning,-ful表示full“充满了技巧，诡计”
articulate,清晰的，清晰明白地说,同源article，art作为词根表示skill，“写文章要清楚地表达”
artifact,工艺品,fact-做，做得很艺术
artisan,技工,-san-表示人“和技术有关的人”
artless,淳朴的，自然的,-less表示否定后缀
ascertained,确定,as加强，certain确定
ascetic,苦行的，禁欲的，禁欲的人,源自athletic运动的，“禁欲的目的是进行体育比赛”
aseptic,无菌的,反义：contaminated 污染的，septic-腐烂的，腐臭的；“七月的东西易腐烂”
askew,歪斜的，歪斜地,联想 ask+we，照片歪没歪
assassinate,刺杀,ass屁股+ass+in，assassin 刺客，在屁股后面暗杀
assent,同意,a加辅音双写都表示一个动作的加强，产生强烈的感觉 as+sent+sense
assessment,评估,
assiduous,勤勉的，刻苦的,反：slothful，同：diligent\industrious\hard-working，as-to，sid/sed=sit，-ous-adj；加强坐着，整天坐在那里看书的
assimilate,吸收，理解，同化,as表示加强，simul/simil/semble=similar相似，加强相同
astigmatic,乱视的，散光的,a+stig/stin=sting死盯如stimulate（刺），光线扎眼
astonish,令人震惊,a表示加强，加强扎->令人震惊的 astound
attachment ,喜爱,
attenuate,削弱,at-to+tenu-thin薄瘦+ate
auction,拍卖,增加产品价值的活动
audacious,厚颜无耻的，大胆的,aud-add-acious，表示多，胆量不断增加
augment,增加,"联想argument，争吵不断增加，词根aug/auc/aud=increase,add"
augury,征兆，预言,与auspicious一起记忆
august,威严,八月August
auspicious,吉祥的，吉兆的,spic=spect看，看见鸟就是吉祥的，~ cloud祥云
austere,简朴的，严峻的，严厉的=strict，操行上一丝不苟的，ascetic，苦行的,au-to+stern-:严格的，“死瞪”
authentic,可信的，真正的，真迹,"auth=author作者,""出自真正作家手笔的“"
avalanche,雪崩,看见雪崩拦lan车che
avarice,垂涎，贪婪,联想 rice大米，ava 堪称眼睛，眼睛总是看着大米想占为己有->贪婪，贪财
avaricious,贪婪的，贪财的,avarice变形，联想大米，ava看成眼睛，眼睛一直盯着大米想占为己有
aver,公开承认，公开声明,a-to+ver-true：将真相说出；voc/cok--call/speak
averse,不喜欢的，厌恶的,串记：厌恶敌对，be averse to doing sth = loathe
avert,转移，避免,vert/vers=turn，转变，a-to+vert，转变=转移
avian,鸟的,avian migrant 候鸟
aviary,大型鸟舍，鸟类饲养场,avi=au=bird，api-表示蜜蜂
aviation,飞行术，航空学,avi-bird
aviator,飞行员,
aviculture,养鸟业,culture 表示养殖业
avid,贪婪的，狂热的,av表示贪婪
avow,承认，公开声明 concede/admit/confess/acknowledge,a-表示加强，vow来自voice，加强发声，公开承认 vow v./n. 宣誓
awry,歪的，斜的,wr=twist和扭曲有关，look awry 斜视
babble,呀呀儿语,baby
baleful,恶毒的,bale，大包裹，不幸，痛苦；谐音：很背噢
balm,香膏；香油，安慰物,balm-palm 手掌，往手掌上抹的油
balmy,芳香的，温和的,
bandage,绷带,
bane,灾害，祸根,ban->禁止做的
baneful,有害的，使人苦恼的,
bankrupt,破产,
barbarian,野蛮的，野蛮人,人拿着两个棒子
barrel,桶,近：blockade，道路封锁，block1街区2阻拦
barren,贫瘠的，不孕不育的,土地上就剩下几个棒子了，没有人
barricade,路障,barrier bar--棒子stick，棒子形成的集合->路障
barrister,（出庭的）律师【英】,st-stand，站着不动，站在栅栏中辩护的人
baton,警棍，指挥棒,on（名词后缀）作为后缀表示小，如electron电子，”打人的小东西“->警棍
battalion,军营，军队,
bawdy,淫秽的，好色的,源于 bawd 老鸠，bawdy->body“提到人的裸体是色情”
bedeck,装饰,be-加强，deck 装饰，decorate
beguile,欺骗,guile 欺骗
belabor,重击重打；严厉谴责,对劳动人民打骂
belay,拴住,be-加强，tie同belay
beleaguer,围攻,league，联盟，联合，联盟起来攻打
belie,掩饰；证明……为假,撒谎是为了掩饰
belittle,鄙视，小看,
benediction,祝福,bene+dict表示说，说好话->祝福
benefactor,行善者,"bene->good,fact- 表示做，to make， factory + or 人，做好事的人"
beneficence,仁慈,
beneficent,仁慈的，有善心的,fic-fact-make，做好事的
beneficiary,受益人,
benevolent,好意的，有善心的,"vol-:will意愿，volunteer,bene+vol"
benign,良性的,bene-good好，联想begin刚开始的肿瘤->良性的，benign tumor良性肿瘤
berth,卧铺；停泊处,"联想birth""生在卧铺"""
besiege,包围，围攻,be加强，seige 包围
bestow,给予（有价值的东西）,bestow sth on sb; 安放；be-加强，st-stand，使站立在那
bewilder,不知所措，困惑,
bilious,易怒的,bile：胆汁，胆不好，脾气暴躁
bilk,诈骗，敲诈,bilk sb out of sth
birch,桦树；用藤条打,"联想 bird""鸟在桦树"""
blackmail,勒索，敲诈,寄去一封黑色的信
blame,责怪,
blaspheme,亵渎,
blasphemy,亵渎,pheme=fame表示声音，blas-=blast->来自blow 炸毁名誉
blatant,喧嚣的；【贬】明显的（形容消极事物）；臭名昭著的,blabla地谈，很吵
blithe,快乐的，轻浮的,反义词是serious，来自 bliss极乐，美满 -> bless
bloated,红肿的，肿胀的,blow->吹起来-肿胀
blotch,红斑，斑点,明显肿胀的红斑
bluster,风狂吹,联想blow
blustering,叫嚣的，喧嚣的,风怒号的状态
bogus,假的,~ doctor 庸医
boisterous,狂暴的，喧闹的,男孩boi（boy）站在一起（ster-stand）吵吵闹闹
bolster,垫子，支持,龙虾坐在垫子上
bombastic,夸夸其谈,像炸弹一样地说
bondage,奴役，束缚,bond-bind绑
boycott,抵制，联合抵制,
bravado,虚张声势，逞能,做作do的勇敢brave
breach,违背，破坏,联想-break，br-分支/分歧；出生/生 born
breech,臀部,br-分开，屁股有两半，左右对称
breed,繁殖,br-开头的词，跟分开，分歧，出生有关
brew,酿；酝酿计划,brew a plot 酝酿阴谋
brim,帽子边,串记：rim是边缘，b在前边是不变，鬼在前边真恐怖，树在前边是修剪，起初开头是呆板
brink,断崖边缘,br-：break，一条路断裂开来
broach,给……开口；开口；开始讨论；提出,联想，a啊张开表示有bro分歧
brooch,胸针,联想，o在胸上bro生出东西
brood,孵化；沉思,br-开头的词，跟分开，分歧，出生有关
brutal,无情的，残忍的,联想，bru=bro，把ta他们bro分开很无情
bucolic,田园的，乡村的,bu-bull，col-call 听见牛在叫
bugle,军号，号/吹号,bull-ox 有关，bull+angle用牛角做的号角
bulge,突出，膨胀，塞满,a full bag
bullish,行情上涨的；自信乐观的,bull+ish 像……
bully,恐吓，欺负，欺凌弱小，土霸,
bumble,拙劣的做；含糊地说；大错误；低级错误,bumb联想bomb
bungle,笨手笨脚地做,谐音：笨狗，反义：bring off 顺利完成
cacophonous,发声不和谐的，嘈杂的,caco-咔咔，卡壳的声音phon-sound
cacophony,嘈杂,
cadge,行乞，乞讨,cadge a living 乞讨为生，【反】earn a living
calamity,灾难，不幸,c+alarm+ity，城市中的警报
callosity,无情；茧皮,联想，边喊边丢
callous,无情的，心肠狠的,call=call+ous 充满了喊的“怎么喊都不理你”；词根，call-hard 心硬的
calloused,结满老茧的,手硬的
calumniate,中伤，诽谤,cal-call + u + m + ate
calumny,诽谤,
camouflage,（军事上）伪装,联想：ca插（上）某mou（国）的旗子flag 伪装
canard,谣言,女歌星多穿谣言，-ard结尾的多为消极名次，如blizzard hazard bastard coward
canary,金丝雀，女歌星,
cannon,大炮，加农炮,
canon,真经，教会法规,佳能
canonical,规范的，按教规行事的,反义词 nontraditional
cant,行话，暗语，伪善的言辞，黑话,cant/chant=sing，唱它；1像唱歌一样的话；2不能（can't）为人所知的话
cantankerous,脾气坏的,anker=anger，cant=sing，联想“开坦克的人脾气不好”
cantata,大合唱，清唱剧,
cantor,领唱者,
canvas,帆布，油画布,联想converse，匡威，帆布鞋
canvass,1游说（=lobby），拉票；2观察,
cape,海角,Cape of Good Hope 好望角
capitulate,投降,cap+it(to go)，被抓走->投降
capricious,变化多端的；任性的，善变的,联想，伸手抓大米，米的形状变化多端；caprice 变形
caption,图片的标题，插图说明,联想，在tiff格式上面的说明
captious,吹毛求疵的，挑剔的,"cap-catch抓毛病，cap:1/head，capital；2/catch,如 capture"
captivate,使着迷，使迷惑，吸引,cap-catch + tiv-联想TV，电视把我牢牢抓住
carcass,动物的尸体,ass-驴，牲口的尸体
cardiac,心脏的,-ac=ic，心+的，～surgery心脏手术，~disease心脏病
cardinal,主要的，最重要的,没有比较级，本身就是最了，在心card里in的al最重要，card-cord->headr，core
cardiologist,心脏学家,ologist是研究xxx的人
carnage,残杀，大屠杀,age表示动作的结果，carn-flesh肉，把人都变成肉了
carnal,肉体的，肉欲的,carn-肉
carnation,康乃馨,肉色的花朵
carnival,狂欢节，嘉年华,吃肉的节日，val--festival
carnivore,食肉动物,vor-eat divorce
carouse,狂欢作乐,唤起arouse你吃肉的欲望
carp,鲤鱼；吹毛求疵，挑剔,鲤鱼很多刺，挑刺
carrion,腐肉,-on 名词词尾表示小，肉逐渐变小
cataclysm,灾难，大洪水,cata-1/fully完全彻底，catalogue（log说得很详细）；2/down向下，lys=loose=release，“地球完全释放能量“即为大灾难
catastrophe,灾难,astro-=aster=star：星星，星星掉下来
caterwaul,发出难听的声音；喧闹的抗议或抱怨,联想，er人像cat猫一样waul狼叫很吵
cavern,大洞穴，大山洞,cave，n可以想成nation那么大
cavil,吹毛求疵，挑毛病,cav-cap + il 抓毛病
cavity,小洞；腔,cave，ity可以想成城市大小，比nation小
censure,批评/严厉谴责,censor-发出的动作——谴责，批评
chant,圣歌，赞歌,谐音：唱它
chauvinistic,极端爱国的,联想，cha查u你v微信找你毛病
chrysanthemum,菊花,chry（cry）+san（三）+the+mum，，一个小男孩哭着送给妈妈三朵菊花
clandestine,秘密的，隐蔽的,联想，dest目标得在climb爬上去才能找到
clique,小团体,
clownish,小丑般的，滑稽的,
cluster,一束，一串,c-与包围/一起有关，a cluster of grapes
coalesce,合并,al-all，esce-逐渐，“逐渐所有都到一起”
cogent,有说服力的=persuasive,ag表示行动，cogitate是仔细思考的，能让人一起行动的-有说服力的，cogent evidence
cogitate,仔细思考；思考，考虑 on,～on sth，co-共同，一起。一起行动->一起思考；不及物动词
competence,权限,联想，想要一起com养宠物pet需要先拿到父母给的权限
complimentary,赞美的,联想，一起说com这个男的men很漂亮pli，赞美他
concatenation,级联,联想，nation国家的一种大家con对cat级连一起行动
concave,凹陷的,cave洞穴，con一起凹
conceals,隐藏,联想，需要发动大家一起con才看得见的
concede,承认，妥协让步,谐音，said说，一起说，承认；；cede-走，con走到一起，达成让步；<concession n.>
conciliatory,安抚的，调和的,联想，调解员con一起说着是是是（cilia谐音是哩啊）
concord,和谐一致,con，一起心都在一起
concrete,真实的,大家一起concreate创作的最真实
condemnation,谴责,国家nation一起con表达愤怒damn
condone,原谅，宽恕,一起con放下愤怒done
conductive,有益的，有帮助的,
confer,协商，授予,confer sb a degree，一起带来
confine,限制,需要一起con说fine才行的
confront,冲突，面对,面对面，be confronted with = be faced with
confrontation,冲突,
conjecture,猜测,大家一起扔思想=猜测
conjure,1请求，恳求；2do a magic 变魔术,《共同说好的誓言》（正式）
connotation,隐义,符号放在一起，意思就不一样了-隐义
consent,同意,共同的con-sense感觉
construe,理解,
contaminated,污染的,aseptic的反义词，septic-腐烂的，ta它们min这种小东西con一起过来破坏
contemplate,深入思考,temple，1寺庙；2太阳穴，一起去temple思考
contempt,鄙视,con一起temp临时t唾弃
contrasts,对比,
contrite,痛恨,联想，con一起tr尝试让evil邪恶的东西it走开，很痛很的东西才需要这么做
controvert,反驳,contra/counter-against
converse,相反的,（宗教信仰的改变）
convert,改变，转化，皈依,
convex,凸的,与 concave 一起记忆
convict,convict sb of sth 宣判某人有罪；证明有罪,vict-来自conquer 表示征服，在罪行前征服->宣判有罪；反：acquit
conviction,定罪，确信,convince，vict/vinc=to conquer victor
convoke,集合，召集，集会,喊到一起来
coping with,应付（敷衍）,
cordial,热心的，热情的,a cordial welcome，相当于 warm，
corroborate,佐证,联想，bor带来correct正确的东西来证明
counterproductive,适得其反,
covert,秘密的,源自cover盖住的东西
covet,垂涎，觊觎,与covert一起记住
cow,恐吓,公牛，母牛对人有威胁性
crabbed,脾气坏的,螃蟹脾气暴躁
criteria,标准,critic评判家们有一套标准
critical,挑剔的,same as captious，critic评论家很挑剔
criticizes,批评,critic评论家就喜欢批评
crumble,使粉碎，使崩溃,crumb面包屑
cumbersome,笨拙的,some有些人在cum的时候喜欢看bear熊
dabble,涉足，浅尝，小试身手,联想，da蛋蛋年轻来试着做ble
daft,愚蠢的,谐音大夫是愚蠢的
dampen,挫伤,谐音，蛋疼很受伤
daunting,令人生畏的,联想成龙拍戏各种受伤太可怕了
decadent,（思想）堕落的，颓废的；三俗的（庸俗/低俗/媚俗的）,
deceptive,欺骗性的,联想，de向下step前进，畏畏缩缩地走，不敢光明正大，带有欺骗性的
decimate,大批杀死,杀死十分之一，dec-10，mate伙伴
decline,衰退，婉言谢绝,dec-向下的line线
declivity,下坡,"a descending slope, -de 表示向下"
defer,推迟，延期（deferrable可延期的）,defer to顺从，服从，deference，de-down，fer-carry，把事情往下推-delay
deft,灵巧的，熟练的,形近词left左手熟练的，左手很灵巧的
deject,心境低落,"de-down,dejected=depressed"
demonstrated,展示，游行,拿着钻石到处说，到处展示；游行（demo-人，str街道，所有人都上街了，游行），
denigrate,诽谤,说反话，说龙妈丹尼很棒，怎么可能
denotation,意思，意义,de：1向下；2off；3.to加强（大多数
denture,假牙,给n你tu牙齿de反着用的
deplete,耗尽,dep深，left留下，挖矿挖得很深什么都没留下，耗尽了整个矿
depressed,凹陷的,de下press压，用力往下压就凹了
derogate,贬低,让别人de蹲下进门gate，贬低他
detain,扣留，关押,de-表示向下，保留下来
deteriorate,恶化,de进一步terriable变坏了恶化了；同义词：exacerbate，worsen；de-to，terior=terror + ate 变得越来越吓人
detest,痛恨,de-off+test
diagnosed,确诊,dialog分析诊断nose鼻子确诊了
dichotomy,矛盾的事物；一分为二,
dignified,凝重,dig深挖ni你的feel想法，氛围很凝重
dignity,尊严,dig深挖ni你的尊严
dilatory,拖拉,谐音，la拉to拖，就是拖拉
diminish,减少,联想，把地位di减下来min
disabuse,1纠正，改正2；消除错误观念,dis否定，否定滥用
disaster,灾难,aster:星星，dis否定，没有一颗星星
disburse,支付，付款,burse=purse，dis=1awat2否定，离开钱包
discard,抛弃，放弃,扔掉一些没有价值的东西，抓住card这个词，赌场中牌不好，所以抛弃
discern,识别，察觉,联想dis到处cern观察
discord,不一致,dis-apart+cord，心不在一起
disdain,轻视，鄙视,"same as distain, t->d=look down upon"
disease,疾病,联想，得病了不dis容易ease啊
dishearten,使……士气低落,dis否定hearten热情
dispassionate,冷静,
dispute,争议,dis分开put放表示不同意
dissemble,掩饰,dis-加强，semble=similar相似；dis-1not2apart3加强
dissent,不同意,感觉不dis-一样
dissident,反对者，持不同意见的人,dis表示apart，分开坐着
dissimulate,伪装,dis-加强
distain,贬低，诋毁,dis-表示否定
distinction,区别,
diurnal,白天的,di来自day
divergence,背离,往不同diver的方向做事gen
diversity,多样性,往不同diver的方向坐sit
divert,娱乐，转向,di-apart，走来了，转向的意思；联想 diverse/diversion 各种娱乐
divisiveness,分裂,di远离vis看七个siven不同的方向
divorce,离婚,"di-apart,vor-eat"
dogmatic,教条的,
dowry,嫁妆,结婚时给朵r - 花
draconian,严厉的,联想，让你ni很抓狂dracon
eccentricity,偏心,
echoes,回声（重复/模仿）,
economy,经济/节俭,
effervescence,液体的沸腾/冒泡,"fever逐渐发热,e双写辅音表示ex"
efflorescence,开花，繁花盛开的样子,
effluvia,（工厂排出的）垃圾，废料，废物,e=ex+flu流出，排出=垃圾
effluvial,恶臭的,effluvia很臭
effrontery,厚颜无耻=shamlessness,把脸放在前面，喜欢抛头露面，shameless，ex-ef相同
effusiveness,过分热情,
egoism,利己主义,ego-自己，egocentric，以自我为中心的
egotism,自大,
ejaculate,尖叫,"jac=ject=throw(可通过reject记忆),e表示向外的，声音扔出来"
electrocardiogram,心电图,electro，电；card心；diogram图
elimination,消除,把限制limit往外e丢
embargo,禁运令，禁令，禁商,有bar拦住去路go
emblematic,象征的，代表的,联想b不乐le马代表了什么
empathy,情感，同情=sympathy,em，en表加强+
emphasis,强调,
emphasizes,强调,
empirical,根据观察的或经验的,联想，能够em通过观察分析出价钱pirce
enamor,迷恋，着迷,en-to+amor=加强爱=迷恋，be enamored of 迷恋，特别喜爱
enchant,使陶醉,chant-唱圣歌，en加强，着迷
encomium,赞美,联想，为了en我i和u在一起con不断赞美
encountered,遭遇,
endorsement,背书/支持,联想，这人居然支持门后dor的色se男men
endow,（天生）赋予，天生赋予，捐赠,dow/don/dot=to give(donate)，en表示加强，加强
enfranchise,使自由解放，给予选举权,en-to，franch=French + ize
enmity,敌意,hostility，联想 enemy
enthrall,使着迷，迷惑,
equivocal,模棱两可的,equi-=equal相等的声音，声音很相近
erotic,挑逗的，引起人欲望的，色情的,来自于希腊神话中的爱神 Eros
errand,差事,run an errand 跑腿儿
errant,错误的，徘徊的，漫游的,词根err-1mistake-2wander/
erratic,无规律的,无规律地徘徊，乱溜达，同 irregular
erroneous,错误的,err-one-ous，一个错误还是错误
eschew,避开，远离；躲避，避讳,外出嚼口香糖；主要是宗教上，教会上的避讳
espouse,支持,e表示加强，spouse夫妻间相互支持
ethos,（团体的）气质，氛围，信仰等,
euphemism,委婉语,美好的声音，-sm
euphonious,悦耳的,eu-:好（优）
euthanasia,安乐死,
evoke,激起/唤起,"e-to,vok=vow=voice，喊出来=arouse ～ my interest in basketball"
exacerbate,恶化，变坏,ex表示加强-ate表示动词后缀，=变尖刻=恶化
exacerbated,加剧,
excavate,挖掘，出土,ex-向外，从cave里面弄出来
exemplar,典型,联想example
exigent,紧急地，急迫地,紧急ex出+ig-ag动
expansion,扩张,
exploiting,剥削；利用,
extent,程度,
extenuate,减轻（罪行）,ex加强，tenu=thin=薄瘦，使罪行变薄-减轻
extirpate,根除,ex拔除tired疲倦去趴pa
extrovert,外向，外向的人,与introvert一起记忆
facility ,设施,
factorization,因式分解,
fastidiousness,挑剔的，难以取悦的,fast-斋戒，斋节期间的人对吃很挑剔，breakfast打破斋戒
feasible,可行的,ible=able，feas=fac=fact元音和元音字母组合之间替换，s和c发生替换，a ～ plan
fell,下降,
ferrous,含铁的,Fe-铁
fertile,多产的（即可指农作物，也可以指思想/想法）,联想，fever很热烈的
fervent,热情的,
fervid,热情的,ardent同义词
fetter,束缚，脚镣,fet-feet + ter
fiend,恶魔，恶人,很像friend，有r->花的是朋友，没花的是恶魔
fiendish,恶毒的,
finicky,追求细节的，挑剔的,fin-fine：过于精细的
flagrant,臭名昭著的，明目张胆,“l”联想成掏粪的粪勺
flamboyant,炫耀的，浮夸的,火焰flame般的男孩爱炫耀
flay,去皮，剥皮，严厉批评,"flay a dog,flay the animal"
fleece,诈取，多收钱财,骗了钱以后就flee（离开）
fluctuate,波动，浮动,fluc-由波浪的形状联想，go up and down
flummery,假恭维,联想，假心心地拿着花fl来纪念memory你u
flush,脸红，冲水,blush
flux,时代变迁,
forgo,放弃美好的事物,for-之前，在之前走，先走一步表示放弃，forgo the earthly pleasure，放弃世俗的快乐
forsake,放弃（forsook，forsaken）,for the sake of 出于 …… 原因，为了某种原因而放弃
forswear,宣誓放弃,for放弃swear宣誓
fortify,加强,源自force
fortuitous,偶然,联想，it走for之前居然还能偶遇ou你u
fragrant,芳香的,r联想成一朵花
frenzied,丧心病狂,联想，这人疯了一直冻freeze着
frigid,冷漠的，冷的，冷淡的，性冷淡的,freeze冷冻，fridge 冰箱，It's frigid today.
fringe,边缘，刘海,美语用bang，反：center，b-f/k-g 发生通假
frustrated,沮丧的,联想，上街st了之后发现水果fruit涨价了rate很沮丧
fumble,摸索，翻寻,f-feel，f-翻寻
fungible,可替代的,联想，可以换其他基友gi一起玩fun
gabble,急速不清的说,speak unclearly and quickly
gallant,英勇的，骁勇善战,gall=胆汁，球是ball，胆是gall，胆大的
gambol,嬉戏，雀跃,来自game
gaunt,憔悴的，骨瘦如柴的,考GRE的姑姑很憔悴
gluttony,饕餮,七宗罪，中间是一吨的
grabble,夺取,
grandiose,宏伟壮观的；妄自尊大的,联想，dio迪欧很自大
gravity,稳重,
Greed,贪婪,七宗罪
gregariousness,合群,
grim,阴森恐怖的，严厉的（常指建筑物的阴森恐怖）,鬼G在前边rim真恐怖
guileless,正直的，诚实的,联想 guilt
gush,液体的涌出,gu拼音鼓出，gusher喷油井
harbingers,预兆,联想，能够猜出bingo的
herbivore,食草动物,herb-grass，vor-eat
hesitancy,不愿,联想，让他he坐sit坦克tan还不愿意
hierarchy,等级制度,hier-higher+archy-to rule(anarchy)更高层的统治
